State,"Increase L, Increase M, Increase V","Increase L, Increase M, Keep V","Increase L, Increase M, Decrease V","Increase L, Keep M, Increase V","Increase L, Keep M, Keep V","Increase L, Keep M, Decrease V","Increase L, Decrease M, Increase V","Increase L, Decrease M, Keep V","Increase L, Decrease M, Decrease V","Keep L, Increase M, Increase V","Keep L, Increase M, Keep V","Keep L, Increase M, Decrease V","Keep L, Keep M, Increase V","Keep L, Keep M, Keep V","Keep L, Keep M, Decrease V","Keep L, Decrease M, Increase V","Keep L, Decrease M, Keep V","Keep L, Decrease M, Decrease V","Decrease L, Increase M, Increase V","Decrease L, Increase M, Keep V","Decrease L, Increase M, Decrease V","Decrease L, Keep M, Increase V","Decrease L, Keep M, Keep V","Decrease L, Keep M, Decrease V","Decrease L, Decrease M, Increase V","Decrease L, Decrease M, Keep V","Decrease L, Decrease M, Decrease V"
0,-34.999999999999645,-35.499999999999645,-35.999999999999645,-35.499999999999645,-35.999999999999645,-36.499999999999645,-35.999999999999645,-36.499999999999645,-36.999999999999645,-35.499999999999645,-35.999999999999645,-36.499999999999645,-35.999999999999645,-36.499999999999645,-36.999999999999645,-36.499999999999645,-36.999999999999645,-37.499999999999645,-35.999999999999645,-36.499999999999645,-36.999999999999645,-36.499999999999645,-36.999999999999645,-37.499999999999645,-36.999999999999645,-37.499999999999645,-37.999999999999645
1,-33.999999999999645,-34.499999999999645,-34.999999999999645,-34.499999999999645,-34.999999999999645,-35.499999999999645,-34.999999999999645,-35.499999999999645,-35.999999999999645,-34.499999999999645,-34.999999999999645,-35.499999999999645,-34.999999999999645,-35.499999999999645,-35.999999999999645,-35.499999999999645,-35.999999999999645,-36.499999999999645,-34.999999999999645,-35.499999999999645,-35.999999999999645,-35.499999999999645,-35.999999999999645,-36.499999999999645,-35.999999999999645,-36.499999999999645,-36.999999999999645
2,-32.999999999999645,-33.499999999999645,-33.999999999999645,-33.499999999999645,-33.999999999999645,-34.499999999999645,-33.999999999999645,-34.499999999999645,-34.999999999999645,-33.499999999999645,-33.999999999999645,-34.499999999999645,-33.999999999999645,-34.499999999999645,-34.999999999999645,-34.499999999999645,-34.999999999999645,-35.499999999999645,-33.999999999999645,-34.499999999999645,-34.999999999999645,-34.499999999999645,-34.999999999999645,-35.499999999999645,-34.999999999999645,-35.499999999999645,-35.999999999999645
3,-31.999999999999666,-32.499999999999645,-32.999999999999645,-32.499999999999645,-32.999999999999645,-33.499999999999645,-32.999999999999645,-33.499999999999645,-33.999999999999645,-32.499999999999645,-32.999999999999645,-33.499999999999645,-32.999999999999645,-33.499999999999645,-33.999999999999645,-33.499999999999645,-33.999999999999645,-34.499999999999645,-32.999999999999645,-33.499999999999645,-33.999999999999645,-33.499999999999645,-33.999999999999645,-34.499999999999645,-33.999999999999645,-34.499999999999645,-34.999999999999645
4,-28.749999999999666,-28.999999999999666,-32.499999999999645,-28.999999999999666,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-28.999999999999666,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645
5,-32.499999999999645,-28.999999999999666,-28.749999999999666,-28.999999999999666,-28.749999999999666,-28.499999999999666,-28.749999999999666,-28.499999999999666,-28.749999999999666,-28.999999999999666,-28.749999999999666,-28.499999999999666,-28.749999999999666,-28.499999999999666,-28.749999999999666,-28.499999999999666,-28.749999999999666,-28.999999999999666,-28.749999999999666,-28.499999999999666,-28.749999999999666,-28.499999999999666,-28.749999999999666,-28.999999999999666,-28.749999999999666,-28.999999999999666,-32.499999999999645
6,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-28.999999999999666,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-32.499999999999645,-28.999999999999666,-32.499999999999645,-28.999999999999666,-28.749999999999666
7,-34.999999999999645,-34.499999999999645,-33.999999999999645,-34.499999999999645,-33.999999999999645,-33.499999999999645,-33.999999999999645,-33.499999999999645,-32.999999999999645,-34.499999999999645,-33.999999999999645,-33.499999999999645,-33.999999999999645,-33.499999999999645,-32.999999999999645,-33.499999999999645,-32.999999999999645,-32.499999999999645,-33.999999999999645,-33.499999999999645,-32.999999999999645,-33.499999999999645,-32.999999999999645,-32.499999999999645,-32.999999999999645,-32.499999999999645,-31.999999999999666
8,-35.999999999999645,-35.499999999999645,-34.999999999999645,-35.499999999999645,-34.999999999999645,-34.499999999999645,-34.999999999999645,-34.499999999999645,-33.999999999999645,-35.499999999999645,-34.999999999999645,-34.499999999999645,-34.999999999999645,-34.499999999999645,-33.999999999999645,-34.499999999999645,-33.999999999999645,-33.499999999999645,-34.999999999999645,-34.499999999999645,-33.999999999999645,-34.499999999999645,-33.999999999999645,-33.499999999999645,-33.999999999999645,-33.499999999999645,-32.999999999999645
9,-36.999999999999645,-36.499999999999645,-35.999999999999645,-36.499999999999645,-35.999999999999645,-35.499999999999645,-35.999999999999645,-35.499999999999645,-34.999999999999645,-36.499999999999645,-35.999999999999645,-35.499999999999645,-35.999999999999645,-35.499999999999645,-34.999999999999645,-35.499999999999645,-34.999999999999645,-34.499999999999645,-35.999999999999645,-35.499999999999645,-34.999999999999645,-35.499999999999645,-34.999999999999645,-34.499999999999645,-34.999999999999645,-34.499999999999645,-33.999999999999645
10,-37.999999999999645,-37.499999999999645,-36.999999999999645,-37.499999999999645,-36.999999999999645,-36.499999999999645,-36.999999999999645,-36.499999999999645,-35.999999999999645,-37.499999999999645,-36.999999999999645,-36.499999999999645,-36.999999999999645,-36.499999999999645,-35.999999999999645,-36.499999999999645,-35.999999999999645,-35.499999999999645,-36.999999999999645,-36.499999999999645,-35.999999999999645,-36.499999999999645,-35.999999999999645,-35.499999999999645,-35.999999999999645,-35.499999999999645,-34.999999999999645
